Source,Target,Type,Id,Label,timeset,Weight,,,Id,Label
18364,YouTube,Directed,318,,,1,,,,
18364,heritage.gov,Directed,319,,,1,,,,
18364,USA Today,Directed,320,,,1,,,,
18364,citylab.com,Directed,321,,,1,,,,
18364,Reuters,Directed,322,,,1,,,,
Wikipedia,census.gov,Directed,323,,,2588,,,,
Wikipedia,factfinder.census.gov,Directed,324,,,1347,,,,
Wikipedia,Pew Research,Directed,325,,,213,,,,
Wikipedia,New York Times,Directed,326,,,122,,,,
Wikipedia,Washington Post,Directed,327,,,77,,,,
Wikipedia,Huffington Post,Directed,328,,,63,,,,
Wikipedia,CNN,Directed,329,,,58,,,,
Wikipedia,Guardian US,Directed,330,,,46,,,,
Wikipedia,USA Today,Directed,331,,,42,,,,
Wikipedia,heritage.gov,Directed,332,,,27,,,,
Wikipedia,journals.sagepub.com,Directed,333,,,26,,,,
Wikipedia,bls.gov,Directed,334,,,25,,,,
Wikipedia,The Sacramento Bee,Directed,335,,,23,,,,
Wikipedia,NPR,Directed,336,,,21,,,,
Wikipedia,Breitbart,Directed,337,,,20,,,,
Wikipedia,CNBC,Directed,338,,,13,,,,
Wikipedia,The Atlantic,Directed,339,,,12,,,,
Wikipedia,Reuters,Directed,340,,,11,,,,
Wikipedia,brookings.edu,Directed,341,,,9,,,,
Wikipedia,FiveThirtyEight,Directed,342,,,9,,,,
Wikipedia,cis.org,Directed,343,,,8,,,,
Wikipedia,ballotpedia.org,Directed,344,,,8,,,,
Wikipedia,citylab.com,Directed,345,,,5,,,,
Wikipedia,Politifact,Directed,346,,,5,,,,
Wikipedia,Economic Policy Institute,Directed,347,,,4,,,,
Wikipedia,Miami Heral,Directed,348,,,4,,,,
Wikipedia,Politico,Directed,349,,,3,,,,
Wikipedia,commerce.gov,Directed,350,,,3,,,,
Wikipedia,Vox,Directed,351,,,3,,,,
Wikipedia,propublica.org,Directed,352,,,2,,,,
Wikipedia,NBC News,Directed,353,,,2,,,,
Wikipedia,Wall Street Journal,Directed,354,,,2,,,,
Wikipedia,Twitter,Directed,355,,,1,,,,
Wikipedia,Mother Jones,Directed,356,,,1,,,,
Wikipedia,YouTube,Directed,357,,,1,,,,
Wikipedia,1755,Directed,358,,,1,,,,
Wikipedia,CNS News,Directed,359,,,1,,,,
Wikipedia,Washington Times,Directed,360,,,1,,,,
Politifact,census.gov,Directed,361,,,7,,,,
Politifact,factfinder.census.gov,Directed,362,,,1,,,,
Politifact,NPR,Directed,363,,,1,,,,
Politifact,CNN,Directed,364,,,1,,,,
Politifact,YouTube,Directed,365,,,1,,,,
Politifact,bls.gov,Directed,366,,,1,,,,
Politifact,commerce.gov,Directed,367,,,1,,,,
Politifact,Reuters,Directed,368,,,1,,,,
brookings.edu,census.gov,Directed,369,,,14,,,,
brookings.edu,Pew Research,Directed,370,,,6,,,,
brookings.edu,Economic Policy Institute,Directed,371,,,3,,,,
brookings.edu,Washington Post,Directed,372,,,2,,,,
brookings.edu,documentcloud.org,Directed,373,,,1,,,,
brookings.edu,propublica.org,Directed,374,,,1,,,,
brookings.edu,The Atlantic,Directed,375,,,1,,,,
brookings.edu,journals.sagepub.com,Directed,376,,,1,,,,
brookings.edu,citylab.com,Directed,377,,,1,,,,
Breitbart,Twitter,Directed,378,,,22,,,,
Breitbart,YouTube,Directed,379,,,16,,,,
Breitbart,census.gov,Directed,380,,,15,,,,
Breitbart,The Atlantic,Directed,381,,,10,,,,
Breitbart,Washington Post,Directed,382,,,8,,,,
Breitbart,cis.org,Directed,383,,,8,,,,
Breitbart,documentcloud.org,Directed,384,,,6,,,,
Breitbart,New York Times,Directed,385,,,5,,,,
Breitbart,Politico,Directed,386,,,3,,,,
Breitbart,NBC News,Directed,387,,,3,,,,
Breitbart,factfinder.census.gov,Directed,388,,,2,,,,
Breitbart,NPR,Directed,389,,,2,,,,
Breitbart,Mother Jones,Directed,390,,,2,,,,
Breitbart,ballotpedia.org,Directed,391,,,2,,,,
Breitbart,citylab.com,Directed,392,,,2,,,,
Breitbart,Wall Street Journal,Directed,393,,,2,,,,
Breitbart,Miami Heral,Directed,394,,,2,,,,
Breitbart,Pew Research,Directed,395,,,1,,,,
Breitbart,propublica.org,Directed,396,,,1,,,,
Breitbart,bls.gov,Directed,397,,,1,,,,
Breitbart,sfchronicle.com,Directed,398,,,1,,,,
Breitbart,1755,Directed,399,,,1,,,,
Breitbart,CNS News,Directed,400,,,1,,,,
Breitbart,democraticredistricting.com,Directed,401,,,1,,,,
bls.gov,census.gov,Directed,402,,,32,,,,
bls.gov,YouTube,Directed,403,,,1,,,,
CNS News,census.gov,Directed,404,,,30,,,,
CNS News,factfinder.census.gov,Directed,405,,,2,,,,
CNS News,heritage.gov,Directed,406,,,2,,,,
CNS News,Washington Post,Directed,407,,,1,,,,
CNS News,documentcloud.org,Directed,408,,,1,,,,
CNS News,sfchronicle.com,Directed,409,,,1,,,,
CNS News,commerce.gov,Directed,410,,,1,,,,
CNS News,Wall Street Journal,Directed,411,,,1,,,,
CNS News,democraticredistricting.com,Directed,412,,,1,,,,
documentcloud.org,census.gov,Directed,413,,,44,,,,
documentcloud.org,Pew Research,Directed,414,,,1,,,,
Texas Tribune,census.gov,Directed,415,,,8,,,,
Texas Tribune,commerce.gov,Directed,416,,,3,,,,
Texas Tribune,NPR,Directed,417,,,2,,,,
Texas Tribune,18364,Directed,418,,,2,,,,
Texas Tribune,YouTube,Directed,419,,,2,,,,
Texas Tribune,Pew Research,Directed,420,,,1,,,,
Texas Tribune,Washington Post,Directed,421,,,1,,,,
Texas Tribune,propublica.org,Directed,422,,,1,,,,
Texas Tribune,citylab.com,Directed,423,,,1,,,,
census.gov,factfinder.census.gov,Directed,424,,,28,,,,
census.gov,YouTube,Directed,425,,,7,,,,
census.gov,Twitter,Directed,426,,,1,,,,
census.gov,commerce.gov,Directed,427,,,1,,,,
Pew Research,census.gov,Directed,428,,,45,,,,
Pew Research,documentcloud.org,Directed,429,,,3,,,,
Pew Research,factfinder.census.gov,Directed,430,,,2,,,,
Pew Research,brookings.edu,Directed,431,,,2,,,,
Pew Research,Twitter,Directed,432,,,1,,,,
Pew Research,NPR,Directed,433,,,1,,,,
Pew Research,heritage.gov,Directed,434,,,1,,,,
NBC News,census.gov,Directed,435,,,44,,,,
NBC News,factfinder.census.gov,Directed,436,,,6,,,,
NBC News,Pew Research,Directed,437,,,5,,,,
NBC News,Twitter,Directed,438,,,3,,,,
NBC News,Washington Post,Directed,439,,,2,,,,
NBC News,brookings.edu,Directed,440,,,2,,,,
NBC News,Wall Street Journal,Directed,441,,,2,,,,
NBC News,Google Noticias,Directed,442,,,2,,,,
NBC News,New York Times,Directed,443,,,1,,,,
NBC News,sfchronicle.com,Directed,444,,,1,,,,
NBC News,commerce.gov,Directed,445,,,1,,,,
NBC News,Vox,Directed,446,,,1,,,,
NBC News,Brennan Center for Justice,Directed,447,,,1,,,,
NBC News,Reuters,Directed,448,,,1,,,,
NBC News,democraticredistricting.com,Directed,449,,,1,,,,
NBC News,civilrights.org,Directed,450,,,1,,,,
wnymedia.net,YouTube,Directed,451,,,1,,,,
ballotpedia.org,census.gov,Directed,452,,,139,,,,
ballotpedia.org,factfinder.census.gov,Directed,453,,,18,,,,
ballotpedia.org,Washington Times,Directed,454,,,3,,,,
ballotpedia.org,Pew Research,Directed,455,,,2,,,,
ballotpedia.org,Huffington Post,Directed,456,,,2,,,,
ballotpedia.org,FiveThirtyEight,Directed,457,,,2,,,,
ballotpedia.org,Reuters,Directed,458,,,2,,,,
ballotpedia.org,The Sacramento Bee,Directed,459,,,2,,,,
ballotpedia.org,Washington Post,Directed,460,,,1,,,,
ballotpedia.org,CNN,Directed,461,,,1,,,,
ballotpedia.org,18364,Directed,462,,,1,,,,
ballotpedia.org,Politico,Directed,463,,,1,,,,
ballotpedia.org,YouTube,Directed,464,,,1,,,,
ballotpedia.org,sfchronicle.com,Directed,465,,,1,,,,
ballotpedia.org,The Sacramento Bee,Directed,466,,,1,,,,
ballotpedia.org,USA Today,Directed,467,,,1,,,,
ballotpedia.org,Google Noticias,Directed,468,,,1,,,,
Brennan Center for Justice,propublica.org,Directed,469,,,3,,,,
Brennan Center for Justice,census.gov,Directed,470,,,1,,,,
Brennan Center for Justice,Huffington Post,Directed,471,,,1,,,,
Brennan Center for Justice,civilrights.org,Directed,472,,,1,,,,
Economic Policy Institute,bls.gov,Directed,473,,,26,,,,
Economic Policy Institute,census.gov,Directed,474,,,22,,,,
Economic Policy Institute,New York Times,Directed,475,,,3,,,,
Economic Policy Institute,factfinder.census.gov,Directed,476,,,1,,,,
Economic Policy Institute,Huffington Post,Directed,477,,,1,,,,
Economic Policy Institute,brookings.edu,Directed,478,,,1,,,,
Economic Policy Institute,journals.sagepub.com,Directed,479,,,1,,,,
